Monthly migrant encounters at the U.S.-Mexico border have slowed to a trickle in Trump's second term
"Migrant encounters by U.S. Border Patrol at the U.S.-Mexico border, by month"

Month/Year,Total encounters
04/2019,"99,273"
05/2019,"132,856"
06/2019,"94,902"
07/2019,"71,978"
08/2019,"50,684"
09/2019,"40,507"
10/2019,"35,402"
11/2019,"33,524"
12/2019,"32,853"
01/2020,"29,205"
02/2020,"30,077"
03/2020,"30,389"
04/2020,"16,182"
05/2020,"21,593"
06/2020,"30,836"
07/2020,"38,536"
08/2020,"47,283"
09/2020,"54,771"
10/2020,"69,032"
11/2020,"69,169"
12/2020,"71,141"
01/2021,"75,316"
02/2021,"97,643"
03/2021,"169,216"
04/2021,"173,699"
05/2021,"172,654"
06/2021,"178,649"
07/2021,"200,658"
08/2021,"196,514"
09/2021,"185,515"
10/2021,"159,113"
11/2021,"167,015"
12/2021,"170,602"
01/2022,"147,877"
02/2022,"159,170"
03/2022,"211,181"
04/2022,"203,504"
05/2022,"224,370"
06/2022,"192,399"
07/2022,"181,834"
08/2022,"181,774"
09/2022,"207,597"
10/2022,"205,134"
11/2022,"207,680"
12/2022,"222,018"
01/2023,"129,513"
02/2023,"130,521"
03/2023,"163,672"
04/2023,"183,921"
05/2023,"171,382"
06/2023,"99,538"
07/2023,"132,642"
08/2023,"181,054"
09/2023,"218,763"
10/2023,"188,749"
11/2023,"191,106"
12/2023,"249,740"
01/2024,"124,215"
02/2024,"140,641"
03/2024,"137,473"
04/2024,"128,895"
05/2024,"117,905"
06/2024,"83,532"
07/2024,"56,400"
08/2024,"58,009"
09/2024,"53,858"
10/2024,"56,515"
11/2024,"46,609"
12/2024,"47,320"
01/2025,"29,105"
02/2025,"8,349"
03/2025,"7,179"
04/2025,"8,376"
05/2025,"8,724"
06/2025,"6,066"
07/2025,"4,592"
08/2025,"6,317"
09/2025,"8,386"
10/2025,"7,989"
11/2025,"7,348"
12/2025,"6,478"

"Note: Beginning in March 2020, monthly totals combine apprehensions and expulsions into a new category known as encounters. Monthly totals before March 2020 include apprehensions only. Some migrants are encountered more than once."
Source: U.S. Customs and Border Protection.
PEW RESEARCH CENTER
